star_rating,review_body,sentiment,cleaned_text
5,"I am very impressed with this cost-effective, versatile and surprisingly well-sounding speaker. The bluetooth connectivity is smoother than most other bluetooth devices that I have used before. The speaker is lightweight, pretty rigidly constructed and most importantly - the sound is very comparable to speakers that cost $150 more. Well worth the money and hopefully it holds up. 5 stars, two weeks in.",positive,impressed cost effective versatile surprisingly sounding speaker bluetooth connectivity smoother bluetooth devices sp
4,Excellent,positive,excellent
5,"This speaker is hefty, solid, and very rich in sound. I will not be redundant, others have written detailed reviews regarding its function. My comment is mostly about the dimensions given for this product. I do not know where they came up with 6.75 x 8.5 x 4 inches, but those numbers are way off. It measures 7.25 inches long by 3.25 inches in diameter. There are only two dimensions- not sure where they got three, it is tube shaped, after all. Perhaps JBL will listen and modify the listing. Wonderful product. Worth the price.",positive,speaker hefty solid rich sound redundant written detailed reviews function comment dimensions given pro
4,Works great as a table too!,positive,works great table
5,easy way to use the plug in for multiple uses,positive,easy way use plug multiple uses
5,These things are bad ass. I can walk across the gym no problem and Bluetooth still connects.,positive,things bad ass walk gym problem bluetooth connects
5,I received the Bald Eagle Smart Shaver today and am extremely impressed with the shave I received. I did both my head as well as my face and the shave was extremely close with no irratation. It is easy to use as well as clean and I would highly recommend the shaver.,positive,received bald eagle smart shaver today extremely impressed shave received head face shave extremely close irratation eas
5,Nice item. Easy enough to install.,positive,nice item easy install
3,"The 808 Performer is a no nonsense headphone that packs a lot of punch for its price point. The look is contemporary.  It's geared towards using with devices such as phones and tablets in that it has a built in track switch/volume control. There is also a mic for so you don't need to change headphones for making calls.<br /><br />The phones are comfortable despite not having padding on the top. The soft plastic is surprisingly comfy and the floating cans, which are closed as opposed to open, feel like they could stay put without fatigue. The company says the ear cups are padded with leather - I'm not certain it's real leather, but they are cushy and seem like they might last.  I listened to a couple of albums with these without any discomfort. They also have an innovative feature that allows you to rotate the ear cups @ a 90 degree angle, which may come in handy for phone calls. They come with a detachable cloth cable. (There is a wireless Bluetooth version for only $10 more.)<br /><br />I would describe the sound as serviceable, if underwhelming. They have a solid low end, great for bass driven music, but lack transparency and &#34;openness&#34; in the high end. Mids are decent, but because of a lack of transparency in the top end, the sound is warm, but curiously flat. The soundstage is somewhat lacking as well - let's just say it's far from deep or expansive. You can't compare these to an audiophile set of phones, nor should you: I would describe them as utilitarian, ie for listening to MP3s over a phone or tablet, they are more than up to the task.<br /><br />I tried to change tracks on my iPhone 5s and I couldn't get that to work -  I can pause tracks, but it wouldn't let me change them. As for phone calls, they seem to work well. As for the mic and how it performs, it seems adequate.<br /><br />Overall I think these are a decent set of cans for the money. As these are a closed ear headphone, they naturally cut out a certain amount of outside noise. This could be good for working in noisy environments. They are light yet rugged and sound a heck of a lot better than standard earbuds. If you're looking for a lot of features and big sound, you'd be hard pressed to do much better at this price point.be good for working in noisy environments. They are light yet rugged and sound a heck of a lot better than standard earbuds. If you're looking for a lot of features and big sound, you'd be hard pressed to do much better at this price point.",neutral,808 performer nonsense headphone packs lot punch price point look contemporary   geared devices phones tablets
1,This product should be sold with a warning that it is faulty.  After having the remote replaced the manufacture did tell me they know about the Power Button signal weakness.  The IR signal from the Flymote is so weak it requires you to stand right in front of the gbox to power down or reboot.  Many customers think that the power button does not work because it is not programed.  This is not the case since the button is programed from the factory the problem is customers expect the power button to work the same distance that all the other 2.4gh functions of the remote work at.  Also when using the keyboard the entry will studder if the mouse pointer is not turned off.  In other words in order to use the keyboard you must turn off the mouse function first.  Also using the mouse function requires a level of skill many customers may not be able to master.  Example after pointing the mouse to a app you must perform 2 key presses while holding the pointer over the app to open it. This is not easy to perform.,negative,product sold warning faulty   having remote replaced manufacture tell know power button signal weakness   ir signal fl
4,"Everything you need to listen to music or answer your phone in one small case except for power cord storage.  Maybe the next manufacturing of this product the company will make a “cord wind” on the base of the power charger and then everything will really be all in one place.<br /><br />The case is a charging station to set the two ear pieces on.  You then plug in the power cord to the case and let it charge.  It comes with an extra set of ear hooks/buds and a charging cord.<br /><br />I could get one of the ear buds to pair with my tablet/phone but I couldn’t get them to pair so I could use them as stereo.  I must need a teen/tween and I don’t have one!  Hehe  So I will just use the one ear piece.  From that, the sound is good and it stays in my ear as it is not a heavy ear bud.<br /><br />If you are looking for a no-cord, no band headset, this one will fill your requirements.  Just be sure to have a teen/tween who can get them to pair for stereo.<br /><br />&#34;I received a free or discounted product in exchange for providing an unbiased review.&#34;",positive,need listen music answer phone small case power cord storage   maybe manufacturing product company cord wind ba
3,It needs more volume. It keeps falling from the shower door because the suction cup does not stick longer than 10 seconds.,neutral,needs volume keeps falling shower door suction cup stick longer 10 seconds
5,"I bought two to use for my pc monitors as I'm a big gamer and needed room on my desk for other stuff. This comes with all the hardware and instructions, but I did not read the instructions so I can't confirm if they are helpful or not. I did use my own drill and bit to drill 2 holes for each into the wall studs and then ratchet in the lag bolts that came with it. An earthquake could not knock these off. I'm very happy with them. I do not use the swinging ability as much as I thought I would. But no matter they do swing if needed in the future. They are stiff to move which is good and bad. Due to this I chose to stick with the lag bolts and I originally figured I would just screw to stud with wood screws, but thought pulling on the swivel over time would pull out the wood screws, just a thought.<br /><br />*Update 2/20/17<br />-still perfect, have not moved them, I use the swivel ability some, its tight and should be careful not to pull the plastic panel off the monitor, I actually grab the mount arms when I want to swivel due to this as it's so tight. But has not loosen from the wall stud at all. I can easily see it being ripped out of drywall if that's how you anchored it and DO NOT recommend that.",positive,bought use pc monitors big gamer needed room desk stuff comes hardware instructions read instructions
5,It worked right out of the box!,positive,worked right box
3,These headphones only lasted 2 months.  My 6 year old son is kinda rough on them so I can't say entirely that it was product failure.,neutral,headphones lasted 2 months   6 year old son kinda rough entirely product failure
1,"They don't &#34;snap&#34; very well into the socket, even when completely unobstructed.  In the case of the headphones<br />I bought these for (see photo attached) the wide barrel of the cord does not allow me to insert it completely, since<br />the female is protected by a sleeve of plastic. Cheapo Monoprice cords, for instance, work fine here. These present cords do seem<br />to be tangle resistant and sturdy, as advertised, but if they don't snap well, no satisfaction is possible.",negative,34;snap&#34 socket completely unobstructed   case headphones < br />i bought photo attached wide barrel cord
5,Excellent product superior performance reasonable price definitely better than most other earphones I purchased in the past I love these,positive,excellent product superior performance reasonable price definitely better earphones purchased past love
5,Love it,positive,love
5,Works just as advertised. I don't have to unplug and plug in hdmi cables anymore. Easy install. Would recommend this to anyone that doesn't have enough hdmi ports on their tv.,positive,works advertised unplug plug hdmi cables anymore easy install recommend hdmi ports tv
1,Works great if you can figure out the ridiculous set up process. Then mine just decided it wouldn't go into sleep mode and I had to reset everything. Not what you expect when you spend $300 on a remote. Just outmost warranty too. I wouldn't bother with this again.,negative,works great figure ridiculous set process decided sleep mode reset expect spend $ 300 remot
2,"I thought the bass would sound better then it did but everytime it hit, the sound will distort. I was disappointed. I returned it.",negative,thought bass sound better everytime hit sound distort disappointed returned
5,"This device replaced a much larger unit I previously purchased.  It is compact, easy to use and even includes the Australian standard.  I would buy another in a flash!!!  I highly recommend this adapter!!!",positive,device replaced larger unit previously purchased   compact easy use includes australian standard   buy flash   highly recommend adapt
2,Disappointed with the range of the headset.Constantly loses connection and skips even with my iPhone in my front pocket.,negative,disappointed range headset.constantly loses connection skips iphone pocket
4,great,positive,great
5,"Worked first time!  YES,For LG#3 phones!",positive,worked time   yes lg#3 phones
4,great little music player.,positive,great little music player
3,Great product,neutral,great product
5,Excellent wall mount. Very sturdy and easy to assemble and install. We used it in a sun room where it gives us maximum range of motion.,positive,excellent wall mount sturdy easy assemble install sun room gives maximum range motion
5,Love It,positive,love
5,I absolutely adore this product. I use it daily with my HTC One M8 (phone) and Tab 3. This product allows me to play my kids favorite tunes through Spotify while they bathe as I sit in the next room. I have also use this product during my Easter egg hunt in my mom's back yard. Music filled the backyard. I suggest this product over the pill and other competitors.,positive,absolutely adore product use daily htc m8 phone tab 3 product allows play kids favorite tunes spotify bathe sit room
5,"great antenna for the money. Looked up which way to point it on website and picture is as good or better than my Dish service which I am canceling.  This and my 2015 Element Ti4 Quad Core Android TV Box 2GB/16GB/4K S812 Streaming Media Player KODI/XBMC 14.2 Helix & Android 4.4 NEW Air-mouse Remote Included, that I got just saved me over $110 a month.",positive,great antenna money looked way point website picture good better dish service canceling   2015 element ti4 quad core android tv b
5,Just what i got good ssller,positive,got good ssller
3,"One of the reason's I purchased this model was due to the integrated A/D conversion, as I like to convert my LP collection to 48KHz sampled audio to use on my digital media player. I tried recording the USB output into my Digital Audio Workstation using Audacity SW. All I got was seriously distorted audio, the input level set in Audacity had to be set to less than 1 (out of 10) to avoid clipping. I suspect (based on cost) that the A/D conversion is poor quality. Therefore, the USB functionality is only baggage. I like the idea of the included preamp, just to get the signal level to line level close to the cartridge and avoid noise. My Denon amp has phono preamp, but I think the TN-300 preamp is fine and should be matched to the included cartridge. Fortunately I have a good quality Firewire A/D converter, and the audio quality from the TN-300 seems completely satisfactory to me.",neutral,reason purchased model integrated d conversion like convert lp collection 48khz sampled audio use digital media player tried recording t
5,"This mount is rock solid, and it has all kinds of extra pieces to make sure it fits your TV properly. I mounted it to a stud, and was able to hang my whole body weight on the mount before putting the TV on it. It even comes with a tiny little level to simplify the process. Would recommend having a socket wrench though, because it can be a little arduous to install with a normal wrench.",positive,mount rock solid kinds extra pieces sure fits tv properly mounted stud able hang body weight mount putting
4,What kind of warranty does the speaker hacks seems like I don't want to charge properly I'm going to see how the battery is I just got it yesterday,positive,kind warranty speaker hacks like want charge properly going battery got yesterday
5,"This product is durable, the sound quality is excellent, and you cannot beat the price. I've been spending too much money on inferior products and so glad I came across these Philip ear buds.",positive,product durable sound quality excellent beat price spending money inferior products glad came philip ear buds
4,good i like it,positive,good like
5,We are very happy with it. Works great and the sound is good.,positive,happy works great sound good
5,wish the ends fitted tighter but its a nice cable and works.,positive,wish ends fitted tighter nice cable works
5,Excellent value. Works great.,positive,excellent value works great
3,"It works but is very touchy. If I move it, it disconnects.",neutral,works touchy disconnects
5,Arrived promptly and as described.,positive,arrived promptly described
1,I has to try hoax but after weeks of trying to play the CD it does nothing but skip if the wind blows too hardit jumps ahead I'm actually looking for a new CD player,negative,try hoax weeks trying play cd skip wind blows hardit jumps ahead actually looking new cd player
2,It does the job I guess. But you have to twist the connector just right to get it to actually charge. Kind of irritating.,negative,job guess twist connector right actually charge kind irritating
4,Good for the price,positive,good price
1,These adapters are worthless. They work neither in Europe nor in Africa. I threw them away - it's not even worth the effort returning them.,negative,adapters worthless work europe africa threw away worth effort returning
5,Half the price and works the same,positive,half price works
5,"A very handy thing to have when the power goes out!  I haven't had a chance to use it much yet, but everything on it works well - even the crank mechanism.",positive,handy thing power goes   chance use works crank mechanism
4,Definitely a snug fit and you have to work it into the port a bit but it works as needed. I was close to returning it because it didn't seem to fit at first.,positive,definitely snug fit work port bit works needed close returning fit
5,This is so cool and convenient!! You don't have to buy separate case for you pod. I love it!!!! You guys are awesome I had a great swim. I will definitely buy from here from now on!!,positive,cool convenient buy separate case pod love guys awesome great swim definitely buy
5,Great product blue led is a little annoying at night but nothing a little electrical tape can't fix,positive,great product blue led little annoying night little electrical tape fix
3,Lasted for a decent while they've finally died.,neutral,lasted decent finally died
1,The unit worked for about 10 minutes then one of the inputs started flickering and losing hdmi connection every 3 seconds or so. Replaced with a different brand unit which works fine. Stay away from this one. Expensive and junk.,negative,unit worked 10 minutes inputs started flickering losing hdmi connection 3 seconds replaced different brand unit works fine stay away t
2,"Product didn't work with cooking pans, it cut off after about 30 seconds of being plugged in to a standard European 240v plug. It got hot too. After reading the instructions it says don't use with heating devices like hair dryers. I was using it with an electric griddle. The product surge protection did work before it got too hot. I do think that detail about heating devices should have been mentioned more clearly somewhere in the product details before I ordered it since I need it for cooking. I haven't tried it yet on another non heating appliance so it probably does work however I am still disappointed for what I paid and what I expected.",negative,product work cooking pans cut 30 seconds plugged standard european 240v plug got hot reading instructions says use hea
5,I Just love these ear buds! They are made for women and fit perfect. I ordered some for 4 of my friends. I listen to a lot of books on cd and these are the best I have found. I listen to my books at night and have fallen asleep many times using them. But I don't even know they are there until morning.,positive,love ear buds women fit perfect ordered 4 friends listen lot books cd best found listen books n
4,Worked as intended. Sterdy..has many plugs.,positive,worked intended sterdy plugs
3,"This case is very good for storing multiple DVDs and their paper covers and inserts. I was disappointed when I received my most recent purchase of this case because the manufacturer has revamped the design.  The previous 12 that I had purchased had vinyl sides where the zipper attaches.  This newest purchase has nylon sides; just feels flimsy to me. The cover, spine and back are a heavy vinyl, almost feels like leather. The sides just detract from the total feel of the case. But I am very pleased with the storage of my DVDs. They CAN hold more than the number of pages they suggest; mine do!",neutral,case good storing multiple dvds paper covers inserts disappointed received recent purchase case manufacturer revamped d
5,I bought these for my elderly Dad after his other ones broke. He LOVES them. He can walk around the yard or house and still hear his programs.<br />they are easy to install and use.,positive,bought elderly dad ones broke loves walk yard house hear programs.<br />they easy install use
3,to many coasters.,neutral,coasters
5,Definitely helped clean up a couple of Macbooks and an iPhone - it's great it essentially comes with four cleaning cloths.,positive,definitely helped clean couple macbooks iphone great essentially comes cleaning cloths
1,Did not work.,negative,work
2,low quality materials and sub par sound. i'm scared to use them also the hinges don't work well it slips off whenever i look down or up. had these in the past they were great and loved them however i might have gotten a bad pair from the manufactures.,negative,low quality materials sub par sound scared use hinges work slips look past great loved
1,No bass sound whatsoever.,negative,bass sound whatsoever
5,Excellent value for the money!,positive,excellent value money
5,"When I first got my Sharp GX-BT9 Portable Bluetooth Boombox it had a really strong new electronics smell, but after a few weeks of using it I’m glad to report that it has gone away. I think that the unit that I received was so spanking new that it did not have time to sit in a warehouse and get a chance to air out like probably most products do.<br /><br />The GX-BT9 is the Bluetooth version of Sharp’s GX-M10. While it lacks a CD player and iPod/iPhone dock, and is a different color than the GX-M10, the GX-BT9 adds Bluetooth and Near Field Communication or NFC, making the unit more Android friendly. Apple people don’t be alarmed, it will still charge the iPhone/iPod from the unit’s front USB connector, and play through that as well if Bluetooth playback is not desired. Bluetooth playback makes the GX-BT9 more fun though since it makes your device the unit’s wireless remote letting your change the music and the volume without a tether.<br /><br />Let’s face it, Sharp’s GX-BT9 Boom Box looks like a piece of military hardware. It is big, black and heavy with a carry strap that has a carabiner on each end. If you can let that slide, then you will be happy with the sound that this thing throws at you. The GX-BT9  has 100 watts of undistorted power firing two forward facing 3 1/8 inch speakers at 17 watts per channel and two 5 1/8 inch subwoofers that rock 66 watts total power. The front speakers look bigger than they actually are since the holes they are mounted in are actually two inches larger than the speakers. This may help in sound dispersion, I don’t know. What I do know is that the front speakers provide high quality, transparent and accurate sound, while the subwoofers provide tons of room filling, though not floor shaking (which I wouldn’t expect since the lowest frequency the drivers put out is 70 Hz) bass. At times the bass can get a little bit thumpy, especially if the Extra Bass setting is turned on. Luckily, it can be turned off and that helps. When the bass gets rocking, there are blue LED’s in each of the subwoofers that light up in time to the beat, which looks really cool in a dark room. I like that the unit has two positions that it can be placed in, one is when you are listening to music nearby, while the other faces the speakers at an upward angle, which would be better for a party setting.<br /><br />Besides iPhones, iPods and Android phones the unit can also play music from a flash drive formatted in FAT16 or FAT32. It will not play music from a portable hard drive or a CD from a USB DVD/CD drive, which the unit displays the message, “NOTSUPT”. The GX-BT9 has a built in stereo FM tuner, which you initially need to use the supplied remote to tune in the stations and then save them as presets. The radio works quite well and sounds just as good as the other sources. There is also a microphone input with its own volume and echo control for those who want to sing karaoke to the music being played, as well as a guitar input for those who want to jam. There is a stereo mini-jack audio input for portable CD players, Walkmans, video equipment, and I guess whatever else you can adapt to work. Sharp really provides a lot of ways to get sound into the boom box. If you want to listen through headphones, there is a jack for that too.<br /><br />While there is a lot I like about the GX-BT9, there are a few things that I’m not so happy with. The first of those is the 8 character display, which will scroll only once to show the entire song name, then goes back to just the first 8 letters. The second is that the buttons are not backlight, and the writing telling the functions of the buttons is hard to see even when the room is not dark. I guess it’s a good thing that they provided a remote control. Thirdly, I don’t like that the boombox requires 10, yes 10 D Cell batteries, which cannot even be the rechargeable type. This adds another 3.4 pounds to an already heavy unit. I think that Sharp shouldhave provided a built in rechargeable battery with the GX-BT9. That would have made it a truly portable boombox without shelling out $30 for batteries each time you want to take it somewhere you can’t plug it in. The last thing I don’t like is the fact that the subwoofers are exposed without a grille. Since the handles for the unit are on the ends where the subs are, I have touched the speaker elements many times, and I’m afraid one day a finger might go through them. These are pretty minor gripes, but worth mentioning.<br /><br />Sharp has updated the boombox from the 80’s with the GX-BT9 with a great sounding unit that is perfect for anybody who wants loud, clear, full sounding music with lots of bass.<br /><br />Cons<br /><br />Looks like a piece of military hardware<br />Button functions on unit are hard to see in dark area<br />Requires 10 D size batteries – cannot use rechargeable ones<br />Display is limited to only 8 characters and only scrolls once when song loads unless remote is touched.<br />Does not have an iPhone dock or compartment to put phone in when using<br />X Bass can be a little thumpy at times – luckily it can be turned off<br />Subwoofers do not have any grilles, which may lead to possible damage<br />Heavy to carry<br /><br />Pros<br />Unit plays loudly and is extremely clear<br />Dual 5 1/8 inch subwoofers provide lots of room filling, but not floor shaking bass down to 70 Hz.<br />Built In FM Stereo Tuner<br />Versatile playback options – radio, smartphone / bluetooth, flash drive, microphone, guitar, Audio In<br />Comes with a handheld remote control<br />Dual 3 1/8 inch front speakers provide accurate high quality sound<br />Sturdy Carry Strapttery with the GX-BT9. That would have made it a truly portable boombox without shelling out $30 for batteries each time you want to take it somewhere you can’t plug it in. The last thing I don’t like is the fact that the subwoofers are exposed without a grille. Since the handles for the unit are on the ends where the subs are, I have touched the speaker elements many times, and I’m afraid one day a finger might go through them. These are pretty minor gripes, but worth mentioning.  Sharp has updated the boombox from the 80’s with the GX-BT9 with a great sounding unit that is perfect for anybody who wants loud, clear, full sounding music with lots of bass.  Cons  Looks like a piece of military hardware Button functions on unit are hard to see in dark area Requires 10 D size batteries – cannot use rechargeable ones Display is limited to only 8 characters and only scrolls once when song loads unless remote is touched. Does not have an iPhone dock or compartment to put phone in when using X Bass can be a little thumpy at times – luckily it can be turned off Subwoofers do not have any grilles, which may lead to possible damage Heavy to carry  Pros Unit plays loudly and is extremely clear Dual 5 1/8 inch subwoofers provide lots of room filling, but not floor shaking bass down to 70 Hz. Built In FM Stereo Tuner Versatile playback options – radio, smartphone / bluetooth, flash drive, microphone, guitar, Audio In Comes with a handheld remote control Dual 3 1/8 inch front speakers provide accurate high quality sound Sturdy Carry Strap",positive,got sharp gx bt9 portable bluetooth boombox strong new electronics smell weeks glad report gone away think u
4,Decent mount works as described.,positive,decent mount works described
5,Work as advertise. I like them. I haven't had a problem yet.,positive,work advertise like problem
2,My issues with this speaker are volume control just not loud enough. The second is battery life a full charge only lasts 3 hours so much for portability. I would not buy this again knowing what I know now.,negative,issues speaker volume control loud second battery life charge lasts 3 hours portability buy knowing know
5,Really really awesome speakers and the fact that they are waterproof is great. They are also pretty loud,positive,awesome speakers fact waterproof great pretty loud
1,Terrible. They are cheap but you have to twist it to make it work. Gives out easily. Not worth it.,negative,terrible cheap twist work gives easily worth
5,"received fast, great product",positive,received fast great product
4,"Great clarity and sound quality, but a lot smaller in reality the image makes them seem.",positive,great clarity sound quality lot smaller reality image makes
4,"Very happy with this case. My mini Bose speaker fits perfectly, and with room for power cable.",positive,happy case mini bose speaker fits perfectly room power cable
5,"These have been my favorite earbuds to use when I run. They DON'T move!!!  It's hard to find good earbuds with good sound that don't move when bouncing up and down, but I'm convinced I could jump on a trampoline with these, and they'd stay in.",positive,favorite earbuds use run   hard find good earbuds good sound bouncing convinced jump
5,were perfect,positive,perfect
5,Very good product,positive,good product
5,Very good sound for a very good price and they delivered much faster than I had expected.,positive,good sound good price delivered faster expected
5,I bought these for my 9 year old daughter. They work perfectly with her iPod shuffle! She has the music pretty loud and when she has the head phones on we can't hear her music.,positive,bought 9 year old daughter work perfectly ipod shuffle music pretty loud head phones hear music
1,"I am extremely disappointed with this receiver.<br />First I would like to tell that I bought this receiver as a replacement for my 2 year old onkyo 414 which got a dead hdmi board problem.<br />As a reccomendation from a specialized av reseller I got this denon. The salesman told me the Denon receivers are the most durable and reliable, so I decided to give it try.<br />The receiver worked fine for about 1 week, now, when the receiver is on, I get sound but no video, and when the receiver is off, i get the video but no sound from the cbl/sat hdmi port.<br />When I make a soft reset the receiver works great, but once I turn off the receiver the problem returns.<br />I live in Brazil and got this receiver during my last vacations on USA, so i can not just return it to Amazon.<br />I will never buy another Denon product. At least, my previous onkyo lasted 2 years.",negative,extremely disappointed receiver.<br />first like tell bought receiver replacement 2 year old onkyo 414 got dead hdmi board problem.<br />as
5,"This was a great buy. This audio cable is a great length for listening to a device from your pocket or on your desk. The weave around the cable is excellent too. It is very stiff so I do find myself correcting any twists in the cable because it will form into large loops. This, along with the spring on the jack means that the cable should avoid damage very well. I expect this cable to last a long time. I listen through a DAC on my HD 598s, and I haven't noticed any sound degradation. I highly recommend getting this cable if you need to plug your headphones into a 3.5mm instead of a 1/4inch jack. It makes a world of difference.",positive,great buy audio cable great length listening device pocket desk weave cable excellent stiff find c
1,"I never write reviews on Amazon because most of the time the product is always working and useful to me, but this speaker is the worst thing I ever ordered on this website. I got the thing 4 days ago and all I've been doing is charging it for the last 4 days. The reviews for this speaker say it was a good a cheap speaker, but I bet the reviews are from the producer of the product because this speaker is garbage!! Save your money guys the speaker doesn't even come with instructions and it doesn't even turn on or connect to Bluetooth.",negative,write reviews amazon time product working useful speaker worst thing ordered website got thing 4 days ago
5,"Fits perfect, nice and snug and you can still hear the speaker while it is in the case.",positive,fits perfect nice snug hear speaker case
1,Gift,negative,gift
1,It was not at all what I needed.,negative,needed
5,It was a gift  for my boyfriend  and he loved it!  The order came at time and I'm really satisfied with everything.,positive,gift   boyfriend   loved   order came time satisfied
5,Delivers as promised,positive,delivers promised
5,Worked fine.,positive,worked fine
3,I just want to warn people that the on Vizio TVs these won't reach up far enough to properly plug in.  The square part you hold on to is to close to the connector and it prevents it from being able extend far enough in.,neutral,want warn people vizio tvs wo reach far properly plug   square hold close connector prevents able ex
1,Very cheap headsets.  I have only used them 10 times and the ear pad vinyl came apart.  The plastic feels like the cheapest pen you ever bought.  The sound is ok and noise canceling is almost good enough but I have mild hearing loss so who am I to judge.  Buy nice or buy twice.  Now I have to.,negative,cheap headsets   10 times ear pad vinyl came apart   plastic feels like cheapest pen bought   sound ok noise canceling good eno
5,Installed and I was able to pull up all the public channels. To determine what this antenna will pickup you will need to plug your zipcode into the following site that will list available public TV channels: http://antennaweb.org/  The site takes into account terrain.,positive,installed able pull public channels determine antenna pickup need plug zipcode following site list available public tv ch
5,Works just a s described. I use it behind our night tables so we can have our light plugged in without having the table pushed out 4 inches from the wall.,positive,works s described use night tables light plugged having table pushed 4 inches wall
4,"Nice earbuds...as far as earbuds are concerned.  Don't get too wound up on earbud research - these are nice but if you want quality audio, buy a set of over the ear cans.",positive,nice earbuds far earbuds concerned   wound earbud research nice want quality audio buy set ear cans
1,Scam,negative,scam
3,"It does the work.<br /><br />I live in San Francisco, use this antenna I can get up to 50 channels.<br /><br />The bad thing, too short, the stand can't really hold the item.",neutral,work.<br /><br />i live san francisco use antenna 50 channels.<br /><br />the bad thing short stand hold item
5,Perfect for IPOD touch connection to stereo,positive,perfect ipod touch connection stereo
5,good,positive,good
4,"Build: you can throw these around and they'll hold up for a while. The cable is only on one side, and it's thick enough that it doesn't tangle. And it's LONG!!! Yay.<br />Sound quality: I'm not an audiophile, but I can tell that it sounds a bunch better than the usual crap I use. This is better crap, apparently.<br />Comfort: They make me sweat, so I can't wear them for too long. I took off one star for this.",positive,build throw hold cable thick tangle long yay.<br />sound quality aud
1,"I ordered these headphones due to a very favorable review on CNET (perhaps the reviewer was paid to be positive?). As I work in the audio industry, I know what sounds good. These headphones are junk.",negative,ordered headphones favorable review cnet reviewer paid positive work audio industry know sounds good headphones junk
5,Performed as advertised. Every time we used it in Ireland we ended up with charged products. The case was convenient and the model light.,positive,performed advertised time ireland ended charged products case convenient model light
3,"Good pair of headphones, but the wire near the plug is pretty weak.  It gave out after a year of light use.  The company does have an easy return policy though.",neutral,good pair headphones wire near plug pretty weak   gave year light use   company easy return policy
5,"What a great idea this adapter is!  I have a small desk fan in my office that uses 2x D cells, and I got so tired of buying them over and over, and my battery charger only accepts up to C cell, and those bigger rechargeables are expensive! These adapter cases are so inexpensive, I don't think I will bother with D cells anymore if I can help it.<br /><br />These adapters are cheap, simple to use, and have given me zero problems so far. The clasp that holds the door closed seems like it COULD wear out after a while, and sometimes you have to get your fingernail under it just right to open it, but it secures the door well enough. The two metal tabs that make contact with the negative side of the batteries bend a fair amount the first time you close the lid with batteries inside, but have still remained tight on the battery and have not failed.<br /><br />I would definitely recommend these adapters, and they are working great with my Amazon Basics (black label) rechargeable AA batteries.",positive,great idea adapter   small desk fan office uses 2x d cells got tired buying battery charger accepts c cell th
5,Great little radio. Not a high end sound. But good for the money. Strong signal. Good value.,positive,great little radio high end sound good money strong signal good value
1,I had the lamp for less than 90 days and it blew.  The screen went black.  Not what I EXPECTED.,negative,lamp 90 days blew   screen went black   expected
5,"Nice product, as described",positive,nice product described
5,"Well constructed, durable and attractive case with the right number of slots.",positive,constructed durable attractive case right number slots
